questionnaire_id,stakeholder_raw,stakeholder,is_group_level,bias_type,domain,harm_family,harm,votes,llm_selected,total_votes,vote_share
1,Applicant Group,applicant,True,algorithmic,hiring,group,alienation,2,0,28,0.07142857142857142
1,Applicant Group,applicant,True,algorithmic,hiring,group,demeaning,8,1,28,0.2857142857142857
1,Applicant Group,applicant,True,algorithmic,hiring,group,denying self-identity,4,0,28,0.14285714285714285
1,Applicant Group,applicant,True,algorithmic,hiring,group,erasure,3,0,28,0.10714285714285714
1,Applicant Group,applicant,True,algorithmic,hiring,group,none,5,0,28,0.17857142857142858
1,Applicant Group,applicant,True,algorithmic,hiring,group,reifying categories,1,0,28,0.03571428571428571
1,Applicant Group,applicant,True,algorithmic,hiring,group,stereotyping,5,0,28,0.17857142857142858
1,Applicant,applicant,False,algorithmic,hiring,individual,alienation,1,0,33,0.030303030303030304
1,Applicant,applicant,False,algorithmic,hiring,individual,diminished health and well-being,1,0,33,0.030303030303030304
1,Applicant,applicant,False,algorithmic,hiring,individual,economic loss,7,0,33,0.21212121212121213
1,Applicant,applicant,False,algorithmic,hiring,individual,increased labor,6,0,33,0.18181818181818182
1,Applicant,applicant,False,algorithmic,hiring,individual,loss of agency or control,3,0,33,0.09090909090909091
1,Applicant,applicant,False,algorithmic,hiring,individual,opportunity loss,7,0,33,0.21212121212121213
1,Applicant,applicant,False,algorithmic,hiring,individual,privacy violation,0,0,33,0.0
1,Applicant,applicant,False,algorithmic,hiring,individual,service or benefit loss,8,1,33,0.24242424242424243
1,Applicant,applicant,False,algorithmic,hiring,individual,technology-facilitated violence,0,0,33,0.0
1,Applicant Group,applicant,True,representation,hiring,group,alienation,2,0,31,0.06451612903225806
1,Applicant Group,applicant,True,representation,hiring,group,demeaning,6,0,31,0.1935483870967742
1,Applicant Group,applicant,True,representation,hiring,group,denying self-identity,4,0,31,0.12903225806451613
1,Applicant Group,applicant,True,representation,hiring,group,erasure,6,0,31,0.1935483870967742
1,Applicant Group,applicant,True,representation,hiring,group,none,2,0,31,0.06451612903225806
1,Applicant Group,applicant,True,representation,hiring,group,reifying categories,3,0,31,0.0967741935483871
1,Applicant Group,applicant,True,representation,hiring,group,stereotyping,8,1,31,0.25806451612903225
1,Applicant,applicant,False,representation,hiring,individual,alienation,2,0,35,0.05714285714285714
1,Applicant,applicant,False,representation,hiring,individual,diminished health and well-being,3,0,35,0.08571428571428572
1,Applicant,applicant,False,representation,hiring,individual,economic loss,4,0,35,0.11428571428571428
1,Applicant,applicant,False,representation,hiring,individual,increased labor,3,0,35,0.08571428571428572
1,Applicant,applicant,False,representation,hiring,individual,loss of agency or control,7,0,35,0.2
1,Applicant,applicant,False,representation,hiring,individual,opportunity loss,10,1,35,0.2857142857142857
1,Applicant,applicant,False,representation,hiring,individual,privacy violation,0,0,35,0.0
1,Applicant,applicant,False,representation,hiring,individual,service or benefit loss,6,0,35,0.17142857142857143
1,Applicant,applicant,False,representation,hiring,individual,technology-facilitated violence,0,0,35,0.0
2,Applicant Group,applicant,True,deployment,hiring,group,alienation,3,0,28,0.10714285714285714
2,Applicant Group,applicant,True,deployment,hiring,group,demeaning,6,0,28,0.21428571428571427
2,Applicant Group,applicant,True,deployment,hiring,group,denying self-identity,1,0,28,0.03571428571428571
2,Applicant Group,applicant,True,deployment,hiring,group,erasure,5,1,28,0.17857142857142858
2,Applicant Group,applicant,True,deployment,hiring,group,none,5,0,28,0.17857142857142858
2,Applicant Group,applicant,True,deployment,hiring,group,reifying categories,2,0,28,0.07142857142857142
2,Applicant Group,applicant,True,deployment,hiring,group,stereotyping,6,0,28,0.21428571428571427
2,Applicant,applicant,False,deployment,hiring,individual,alienation,5,0,32,0.15625
2,Applicant,applicant,False,deployment,hiring,individual,diminished health and well-being,6,0,32,0.1875
2,Applicant,applicant,False,deployment,hiring,individual,economic loss,2,0,32,0.0625
2,Applicant,applicant,False,deployment,hiring,individual,increased labor,1,0,32,0.03125
2,Applicant,applicant,False,deployment,hiring,individual,loss of agency or control,3,0,32,0.09375
2,Applicant,applicant,False,deployment,hiring,individual,opportunity loss,7,1,32,0.21875
2,Applicant,applicant,False,deployment,hiring,individual,privacy violation,1,0,32,0.03125
2,Applicant,applicant,False,deployment,hiring,individual,service or benefit loss,6,0,32,0.1875
2,Applicant,applicant,False,deployment,hiring,individual,technology-facilitated violence,1,0,32,0.03125
2,Applicant Group,applicant,True,measurement,hiring,group,alienation,5,0,30,0.16666666666666666
2,Applicant Group,applicant,True,measurement,hiring,group,demeaning,8,1,30,0.26666666666666666
